,date,close,day_prev_close,trend_3_day
1525,2015-06-24,128.11,127.03,-1
1526,2015-06-25,127.5,128.11,1
1527,2015-06-26,126.75,127.5,-1
1528,2015-06-29,124.53,126.75,-1
1529,2015-06-30,125.425,124.53,-1
1530,2015-07-01,126.6,125.425,-1
1531,2015-07-02,126.44,126.6,1
1532,2015-07-06,126.0,126.44,1
1533,2015-07-07,125.69,126.0,-1
1534,2015-07-08,122.57,125.69,-1
1535,2015-07-09,120.07,122.57,-1
1536,2015-07-10,123.28,120.07,-1
1537,2015-07-13,125.66,123.28,-1
1538,2015-07-14,125.61,125.66,1
1539,2015-07-15,126.82,125.61,1
1540,2015-07-16,128.51,126.82,1
1541,2015-07-17,129.62,128.51,1
1542,2015-07-20,132.07,129.62,1
1543,2015-07-21,130.75,132.07,1
1544,2015-07-22,125.22,130.75,1
1545,2015-07-23,125.16,125.22,-1
1546,2015-07-24,124.5,125.16,-1
1547,2015-07-27,122.77,124.5,-1
1548,2015-07-28,123.38,122.77,-1
1549,2015-07-29,122.99,123.38,-1
1550,2015-07-30,122.37,122.99,-1
1551,2015-07-31,121.3,122.37,-1
1552,2015-08-03,118.44,121.3,-1
1553,2015-08-04,114.64,118.44,-1
1554,2015-08-05,115.4,114.64,-1
1555,2015-08-06,115.13,115.4,-1
1556,2015-08-07,115.52,115.13,-1
1557,2015-08-10,119.72,115.52,1
1558,2015-08-11,113.49,119.72,1
1559,2015-08-12,115.24,113.49,1
1560,2015-08-13,115.15,115.24,1
1561,2015-08-14,115.96,115.15,-1
1562,2015-08-17,117.16,115.96,1
1563,2015-08-18,116.5,117.16,1
1564,2015-08-19,115.01,116.5,1
1565,2015-08-20,112.65,115.01,-1
1566,2015-08-21,105.76,112.65,-1
1567,2015-08-24,103.12,105.76,-1
1568,2015-08-25,103.74,103.12,-1
1569,2015-08-26,109.69,103.74,-1
1570,2015-08-27,112.92,109.69,1
1571,2015-08-28,113.29,112.92,1
1572,2015-08-31,112.76,113.29,1
1573,2015-09-01,107.72,112.76,1
1574,2015-09-02,112.34,107.72,-1
1575,2015-09-03,110.37,112.34,-1
1576,2015-09-04,109.27,110.37,-1
1577,2015-09-08,112.31,109.27,-1
1578,2015-09-09,110.15,112.31,-1
1579,2015-09-10,112.57,110.15,-1
1580,2015-09-11,114.21,112.57,1
1581,2015-09-14,115.31,114.21,1
1582,2015-09-15,116.28,115.31,1
1583,2015-09-16,116.41,116.28,1
1584,2015-09-17,113.92,116.41,1
1585,2015-09-18,113.45,113.92,1
1586,2015-09-21,115.21,113.45,-1
1587,2015-09-22,113.4,115.21,-1
1588,2015-09-23,114.32,113.4,-1
1589,2015-09-24,115.0,114.32,1
1590,2015-09-25,114.71,115.0,1
1591,2015-09-28,112.44,114.71,1
1592,2015-09-29,109.06,112.44,-1
1593,2015-09-30,110.3,109.06,-1
1594,2015-10-01,109.58,110.3,-1
1595,2015-10-02,110.38,109.58,-1
1596,2015-10-05,110.78,110.38,1
1597,2015-10-06,111.31,110.78,1
1598,2015-10-07,110.78,111.31,1
1599,2015-10-08,109.5,110.78,1
1600,2015-10-09,112.12,109.5,-1
1601,2015-10-12,111.6,112.12,-1
1602,2015-10-13,111.79,111.6,-1
1603,2015-10-14,110.21,111.79,1
1604,2015-10-15,111.86,110.21,-1
1605,2015-10-16,111.04,111.86,1
1606,2015-10-19,111.73,111.04,-1
1607,2015-10-20,113.77,111.73,1
1608,2015-10-21,113.76,113.77,1
1609,2015-10-22,115.5,113.76,1
1610,2015-10-23,119.08,115.5,1
